epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.80148,1.97394,3.69099,1.35399,0.04611,0.34795,0.14336,0.07779,1.70536,3.48054,1.18313,0.000233333,0.000233333,0.000233333
2,11.5808,1.79,2.06087,1.18841,0.57215,0.19907,0.20513,0.11052,1.78371,2.34766,1.27107,0.000462001,0.000462001,0.000462001
3,16.3363,1.69332,1.66168,1.17335,0.7829,0.26123,0.27446,0.15203,1.73094,1.46698,1.21168,0.000681244,0.000681244,0.000681244
4,21.0704,1.61802,1.4973,1.13576,0.8203,0.29914,0.31708,0.18699,1.57848,1.34618,1.15379,0.000671588,0.000671588,0.000671588
5,26.0393,1.56272,1.3689,1.11781,0.78866,0.33925,0.34382,0.20059,1.52051,1.19644,1.1408,0.000657451,0.000657451,0.000657451
6,31.3395,1.52359,1.26382,1.12218,0.89885,0.30663,0.35972,0.20573,1.50733,1.12946,1.13684,0.000643314,0.000643314,0.000643314
7,36.4044,1.51088,1.20806,1.10939,0.80412,0.39693,0.42034,0.25407,1.47334,1.18203,1.12866,0.000629177,0.000629177,0.000629177
8,41.3007,1.51113,1.2077,1.12465,0.84835,0.38658,0.43069,0.26578,1.43839,1.15289,1.10731,0.00061504,0.00061504,0.00061504
9,46.109,1.47496,1.13035,1.11585,0.80655,0.42547,0.45585,0.27897,1.44381,1.0636,1.12056,0.000600902,0.000600902,0.000600902
10,50.8219,1.44422,1.09782,1.10969,0.76562,0.43917,0.46996,0.28856,1.42262,1.02443,1.11862,0.000586765,0.000586765,0.000586765
11,55.8013,1.45208,1.05988,1.10062,0.82211,0.45869,0.49977,0.30745,1.38716,0.95907,1.10869,0.000572628,0.000572628,0.000572628
12,60.6528,1.43895,1.03521,1.09225,0.87639,0.50121,0.55451,0.33185,1.41928,0.9694,1.11431,0.000558491,0.000558491,0.000558491
13,65.6431,1.42216,1.01291,1.10519,0.89263,0.50008,0.56392,0.34325,1.36931,0.94474,1.09774,0.000544354,0.000544354,0.000544354
14,70.7075,1.40163,0.98224,1.08466,0.79536,0.55726,0.57809,0.35647,1.37929,0.87589,1.1137,0.000530216,0.000530216,0.000530216
15,75.7684,1.36461,0.94073,1.08011,0.8423,0.57148,0.59702,0.3669,1.35187,0.83778,1.10209,0.000516079,0.000516079,0.000516079
16,80.7834,1.38184,0.92781,1.0851,0.8709,0.56276,0.6073,0.3711,1.3497,0.84724,1.09562,0.000501942,0.000501942,0.000501942
17,85.901,1.35767,0.91227,1.07662,0.88378,0.55271,0.61368,0.37804,1.34593,0.80439,1.09273,0.000487805,0.000487805,0.000487805
18,91.0968,1.35446,0.89156,1.07283,0.85101,0.58263,0.6252,0.38797,1.33756,0.79817,1.10024,0.000473668,0.000473668,0.000473668
19,96.0338,1.36339,0.88352,1.07883,0.89426,0.58181,0.63902,0.39433,1.34099,0.78646,1.09718,0.00045953,0.00045953,0.00045953
20,100.949,1.35459,0.88691,1.08294,0.85801,0.61706,0.64895,0.40013,1.32499,0.77099,1.0872,0.000445393,0.000445393,0.000445393
21,105.842,1.3299,0.85327,1.05862,0.87021,0.61918,0.64849,0.40527,1.31462,0.76602,1.08498,0.000431256,0.000431256,0.000431256
22,110.836,1.33901,0.84364,1.07982,0.87326,0.61717,0.67045,0.41941,1.31686,0.73769,1.08646,0.000417119,0.000417119,0.000417119
23,115.756,1.3376,0.83791,1.06997,0.83793,0.62872,0.68258,0.42274,1.31406,0.73742,1.08505,0.000402982,0.000402982,0.000402982
24,120.636,1.32988,0.82042,1.05987,0.89255,0.62387,0.71265,0.4426,1.30779,0.71936,1.08367,0.000388844,0.000388844,0.000388844
25,125.564,1.31936,0.81154,1.06253,0.89278,0.63233,0.75059,0.46341,1.29903,0.73292,1.07743,0.000374707,0.000374707,0.000374707
